0, 0.48095238095238 0.47943831494483 0.178536 0.87663;
1, 0.48214285714286 0.48244734202608 0.177533 0.877633;
2, 0.48095238095238 0.47843530591775 0.17653 0.877633;
3, 0.48035714285714 0.48044132397192 0.181545 0.877633;
4, 0.47559523809524 0.47843530591775 0.224674 0.877633;
5, 0.46785714285714 0.72517552657974 0.694082 0.859579;
6, 0.46488095238095 0.66900702106319 0.646941 0.867603;
7, 0.46607142857143 0.481444332999 0.442327 0.864594;
8, 0.47440476190476 0.4543630892678 0.312939 0.862588;
9, 0.47202380952381 0.45035105315948 0.298897 0.8666;
10, 0.47261904761905 0.44633901705115 0.282849 0.865597;
11, 0.4702380952381 0.4493480441324 0.270812 0.864594;
12, 0.46785714285714 0.45536609829488 0.247743 0.8666;
13, 0.46547619047619 0.46339017051153 0.237713 0.8666;
14, 0.46309523809524 0.46940822467402 0.228686 0.871615;
15, 0.4625 0.46740220661986 0.221665 0.872618;
16, 0.46190476190476 0.4653961885657 0.214644 0.870612;
17, 0.46071428571429 0.45937813440321 0.207623 0.867603;
18, 0.46071428571429 0.4543630892678 0.202608 0.859579;
19, 0.45952380952381 0.45135406218656 0.19659 0.855567;
20, 0.46130952380952 0.44533600802407 0.189569 0.852558;
21, 0.46369047619048 0.44332998996991 0.18656 0.852558;
22, 0.4672619047619 0.44433299899699 0.182548 0.853561;
23, 0.4702380952381 0.4493480441324 0.184554 0.855567;
24, 0.47380952380952 0.45135406218656 0.184554 0.859579;
25, 0.47321428571429 0.45235707121364 0.183551 0.861585;
26, 0.475 0.45135406218656 0.181545 0.862588;
27, 0.47678571428571 0.45035105315948 0.180542 0.859579;
28, 0.47857142857143 0.44834503510532 0.179539 0.860582;
29, 0.47678571428571 0.45035105315948 0.179539 0.861585;
30, 0.475 0.45135406218656 0.180542 0.859579;
31, 0.4702380952381 0.45035105315948 0.180542 0.859579;
32, 0.47202380952381 0.4543630892678 0.185557 0.861585;
33, 0.47261904761905 0.45135406218656 0.189569 0.864594;
34, 0.47619047619048 0.45035105315948 0.209629 0.865597;
